科目,章节,题目,答案
地理,埃及,"7.尼罗河发源于东非高原，________热带草原地区，注入________,河流季节变化大，会定期________,给尼罗河两岸带来肥沃的土壤。",自南向北流经；地中海；泛滥
地理,埃及,8.苏伊士运河是________洲和________洲的分界线，沟通________海和________海，连接________和________。,亚；非；地中；红；大西洋；印度洋
地理,埃及,9.埃及的农作物________的产量和出口量均居世界首位。,长绒棉
地理,埃及,10.埃及的名胜古迹多沿________分布，主要有________、________、卢克索古城等。,尼罗河；金字塔；狮身人面像
地理,俄罗斯,1.俄罗斯地跨________两大洲和东、西两半球，是世界面积最大的国家。,亚欧
地理,俄罗斯,2.俄罗斯属于________洲国家，因其________位于欧洲部分，且人口、城市也大多集中在欧,欧；首都莫斯科
地理,俄罗斯,3.俄罗斯平原广阔，地势________高________低。,东高西低
地理,俄罗斯,4.俄罗斯的四大地形区以山河为界，依次分布。乌拉尔山脉以西是________平原，以东依次是________、________、________,东欧；西伯利亚平原、西伯利亚高原、西伯利亚山地
地理,俄罗斯,5.俄罗斯以________气候为主，有世界最大的________林。,温带大陆性；亚寒带针叶
地理,俄罗斯,"6.________河是俄罗斯的“母亲河”,是欧洲最长的河流，也是世界最长的内流河注入________海。",伏尔加；里
地理,俄罗斯,7.俄罗斯亚洲部分的三大河流自西向东依次是________河、________河、________河，均是自________向________流，注入________洋。,叶尼塞；鄂毕河、勒拿；南；北；北冰
地理,俄罗斯,8.俄罗斯矿产资源丰富，工业以________工业为主，工业区多靠近原料产地。,重
地理,俄罗斯,9.俄罗斯的农业区主要分布在________流域和________流域。,伏尔加；顿
地理,俄罗斯,10.________是俄罗斯的首都，人口和城市主要集中在________中部，是全国最大的城市和政治、经济、文化、交通中心。,莫斯科；东欧平原
地理,俄罗斯,11.________是俄罗斯第二大城市，波罗的海沿岸港口。,圣彼得堡
地理,俄罗斯,12.________位于北极圈内，________流经，是濒临北冰洋的最大城市和,摩尔曼斯克；北大西洋暖流
地理,俄罗斯,"13.符拉迪沃斯托克，又称________,是俄罗斯太平洋沿岸最大的港口城市。",海参崴
地理,法国,"1.法国位于欧洲西部，大陆轮廓呈________,西北隔英吉利海峡与________相望，南临________海。",六边形；英国；地中
地理,法国,2.法国的地形以平原和丘陵为主，南部是________山脉，东部是________山脉，地势______高、____低。,比利牛斯；阿尔卑斯；东南；西北
地理,法国,3.法国西部属________气候，南部属________气候,温带海洋性；地中海
地理,法国,4.法国农业机械化水平高，________是主要的农业区，________和________等产量均居欧洲各国首位。,巴黎盆地；小麦、玉米、葡萄；牛肉
地理,法国,5.法国________电占总发电量的70%以上，是世界核电比例最高的国家。,核
地理,法国,6.法国________盆地是主要的农业区，盛产________;西南部和地中海沿岸盛产________,巴黎；小麦；葡萄
地理,法国,"7.法国的首都是________,最大的港口是地中海沿岸的________等。",巴黎；马赛
地理,法国,8.法国是世界旅游大国，旅游资源有________、________、________、_______、_________。,巴黎圣母院、罗浮宫、凯旋门、埃菲尔铁塔、凡尔赛宫
地理,美国,1.美国的领土除了美国本土，还包括北美洲西北部的________州和太平洋上的________岛。,阿拉斯加；夏威夷群
地理,美国,2.美国本土东临________洋，西临________洋，南临________湾，北与________接壤，西南与________毗邻。,大西；太平；墨西哥；加拿大
地理,美国,3.美国地形呈南北纵列分布，_________面积广大；地势______高，______低。,平原；东西高，中间低
地理,美国,4.美国气候类型多样，以________气候为主。,温带大陆性
地理,美国,5.美国农业的特点是________化(专门化)_______、________程度都相当高，是世界最大的农产品出口国。,区域；机械化、商品化
地理,美国,6.美国乳畜带主要分布在________附近及东北部地区，因为这里气候冷湿，适宜牧草生长，城市和人口集中，市场广阔。,五大湖
地理,美国,7.美国东北部工业区发展的有利条件：________资源丰富、________交通便利、农业基础好、历史悠久等。,矿产；航运
地理,美国,8.美国以________色人种为主，人口稠密区主要分布在沿海平原和东北部的________附近。,白；五大湖
地理,美国,9.________是美国首都，位于哥伦比亚特区。,华盛顿
地理,美国,10.________是美国最大的城市和港口，位于________沿岸，也是世界四大金融中心之一。,纽约；大西洋
地理,美国,11________是美国太平洋沿岸的最大港口，________电影中心和第一个迪士尼乐园的所在地。,洛杉矶；好莱坞
地理,美国,"12.圣弗朗西斯科又称.________,位于太平洋沿岸，其东南的“________”是世界最大的高新技术产业区。",旧金山；硅谷
地理,美国,13.五大湖附近的农业带是乳畜带紧挨着玉米带，墨西哥湾附近是________带。(“南棉北乳西灌溉，,棉花
地理,美国,14.美国工业主要分布在三大地区，________(五大湖)附近是传统工业，________是新兴工业基地。,东北部；南部和西部太平洋
地理,美国,15.________是美国的交通中心，________是美国的汽车工业中心，________是美国的钢铁中心。,芝加哥；底特律；匹兹堡
地理,美国,16.美国的________是世界上最早建立的国家公园。,黄石公园
地理,美国,17.美国重要的标志性建筑________、________、________。,自由女神像；金门大桥、黄石公园。
地理,巴西,1.巴西东临________洋，大部分位于________和_________之间的热带。,大西；赤道；南回归线
地理,巴西,2.巴西是南美洲面积最大的国家，也是世界________带面积最大的国家。,热
地理,巴西,3.巴西北部的地形以________平原为主，气候以________气候为主；南部的地形以________高原为主，气候以________气候为主,亚马逊；热带雨林；巴西；热带草原
地理,巴西,"4.________平原是世界面积最大的平原，形成了世界最大的热带雨林区(有“世界动植物王国”和“________”之称),但其面积在不断缩小，引起了国际社会的极大关注。",亚马逊；地球之肺
地理,巴西,5.________发源于安第斯山脉，自西向东住人，________洋是世界径流量最大、流域面积最广的河流，长度居世界第________位。,亚马逊；大西；2
地理,巴西,6.________是南美洲经济实力最强的国家，铁矿石和水能资源丰富，该国和巴拉圭合建的________水电站世界著名。,巴西；伊泰普
地理,巴西,7.巴西人口以________部最为稠密，官方语言为_______,东南；葡萄牙语
地理,巴西,"8.巴西的首都是________,第一大城市是________,第二大城市是________。",巴西利亚；圣保罗；里约热内卢
地理,澳大利亚,1.澳大利亚位于________洋和________洋之间，是世界上唯一独占一块大陆的国家。,太平；印度
地理,澳大利亚,2.澳大利亚自西向东分为三大地形区，西部是________区，中部是________区，东部是山地区(如________岭）,高原；平原；大分水岭
地理,澳大利亚,3.澳大利亚的气候呈________状分布，________气候和________气候面积广大。,带；热带沙漠；热带草原
地理,澳大利亚,4.________河是澳大利亚最大的河流，发源于东部________岭，注入印度洋。,墨累；大分水
地理,澳大利亚,"5.澳大利亚被称为“世界活化石博物馆”,有________、________(考拉)、鸭嘴兽、鹂鹊等古老动物，形成原因是位置长期孤立，自然环境比较________,生物进化十分缓慢。",袋鼠；树袋熊；单一
地理,澳大利亚,6.澳大利亚有“骑在________上的国家”和“坐在________里的国家”之称。,羊背；矿车
地理,澳大利亚,7.澳大利亚绝大多数为________色人种，通用________语。,白；英
地理,澳大利亚,"8.澳大利亚的首都是________,第一大城市是________,第二大城市是________。",堪培拉；悉尼；墨尔本
地理,澳大利亚,"9.澳大利亚的人口和城市主要分布在________地区，该地区气候________,交通便利，开发较早，工农业发达。",东南沿海；适宜
地理,澳大利亚,10.澳大利亚著名的旅游景点有________、东北部的________。,艾尔斯巨石；大堡礁
地理,中国的疆域,1.中国位于________半球和________半球。,东；北
地理,中国的疆域,2.中国位于________洲东部、________洋西岸，地理位置的特点是________。,亚；太平；海陆兼备
地理,中国的疆域,3.中国南北跨纬度广，大部分地区位于________带，南部小部分地区位于________带，没有________分布。,北温；热；寒带
地理,中国的疆域,4.中国最东端：________省________,黑龙江；乌苏里江
地理,中国的疆域,5.中国最西端：_________的________,新疆维吾尔自治；帕米尔高原
地理,中国的疆域,6.中国最北端：________省的________,黑龙江；漠河县
地理,中国的疆域,7.中国最南端：________省南沙群________,海南；曾母暗沙
地理,中国的疆域,"8.中国陆地总面积约________千米2,居世界第________位。",960万；3
地理,中国的疆域,9.中国的陆上邻国(________个):“东朝鲜北蒙古，东北、西北俄罗斯，西有哈吉塔阿巴，西南印度尼不丹，南部还有缅老越”。,14；
地理,中国的疆域,中国的陆上邻国19个，东亚有________、________;东南亚有________、________、________;,蒙古(内陆国)、朝鲜；缅甸、老挝(内陆国)、越南
地理,中国的疆域,中国的陆上邻国19个，南亚________、________、________________;,巴基斯坦、阿富汗、不丹、尼泊尔
地理,中国的疆域,中国的陆上邻国19个，中亚有________、________、________;北亚有________,哈萨克斯坦(世界最大的内陆国)、吉尔吉斯斯坦、塔吉克斯坦；俄罗斯
地理,中国的疆域,10.中国频临的海洋自北向南依次是________海、________海、________海、________海。,渤；黄；东；南
地理,中国的疆域,11.中国的内海为________与________海峡。,渤海；琼州
地理,中国的疆域,12.中国的领海宽度___海里。,12
地理,中国的疆域,13.中国隔海相望的国家(________个):韩日菲马印尼莱东亚。东亚有________、________;,6；
地理,中国的疆域,中国隔海相望的国家6个，东南亚有________、________、________、________。,菲律宾、马来西亚、文莱、印度尼西亚
地理,中国的疆域,14.中国第一大岛是________岛，第二大岛是________岛。,台湾；海南
地理,中国的行政区划,1.中国现行的三级行政区划为________(自治区、直辖市)、________三级。,省；镇
地理,中国的行政区划,2.中国共有________个省级行政区域单位。(23+5+4+2),34
地理,中国的行政区划,3.中国的4个直辖市为________市、________市、________市、________市。,北京；天津；上海；重庆
地理,中国的行政区划,4.中国面积最大的省级行政区是________。,新疆维吾尔自治区
地理,中国的行政区划,5.中国跨纬度最广的省级行政区是________。,海南省
地理,中国的行政区划,6.中国跨经度最广的省级行政区是________。,内蒙古自治区
地理,中国的行政区划,7.中国陆上邻国最多的省级行政区是________。,新疆维吾尔自治区
地理,中国的行政区划,8.北回归线自西向东穿过的中国省级行政区依次是________、________。,云南省广西壮族自治区；台湾省
地理,中国的行政区划,9.东南沿海的省份？请记住八年级上册各省份的位置和轮廓。,上海、江苏、浙江、福建、广东
地理,中国的人口和民族,1.根据2020年第七次全国人口普查结果显示，中国总人口超过________亿，居世界第________位。,14；1
地理,中国的人口和民族,"2.中国人口地区分布不均，以__________线为界，东部人口_________，西部人口______，经济发达、交通便利的地区人口多,经济落后交通闭塞的地区人口少_",黑河(黑龙江省)—腾冲(云南省)；密集；稀疏
地理,中国的人口和民族,3.中国各省中________省人口最多，因为________________________。,广东；外来务工的人员多
地理,中国的人口和民族,"5.中国的人口政策：________,是一项长期的基本国策。",实行计划生育，控制人口数量，提高人口质量
地理,中国的人口和民族,6.中国共有________个民族，少数民族________个，人数最多的是________。在少数民族中，人口最多的是________族。,56；55；汉族；壮
地理,中国的人口和民族,8.在中国各民族中，________族分布最广要集中在________部和________部地区。,汉；东；中
地理,中国的人口和民族,9.中国的少数民族主要分布在________、________和________部地区。,西北；东北；西南
地理,中国的人口和民族,10.中国少数民族种类最多的省级行政区是________省。,云南
地理,中国的人口和民族,"11.壮族主要分布在________,回族主要分布在________,维吾尔族主要分布在________,蒙古族主要分布在________,",广西壮族自治区；宁夏回族自治区；新疆维吾尔自治区；内蒙古自治区
地理,中国的人口和民族,"藏族主要分布在________,苗族主要分布在________、________。",西藏自治区；贵州省；湖南省
地理,中国的人口和民族,12.蒙古族的特色民族节日________有________、________、________等比赛项目。,那达慕大会；骑马；射箭；摔跤
地理,中国的人口和民族,13.位于云南省傣族的特色民族节日________节，傣族人擅长跳________。,泼水；孔雀舞
地理,中国的地形,2.弧形山脉主要有喜马拉雅山脉，其主峰________峰是世界第一高峰，位于中国与尼泊尔的边境。背地图：八年级上册P21,珠穆朗玛
地理,中国的地形,"3.四大高原：青藏高原一_________,是中国最大、世界最高的高原，被称为“_________”。",雪山连绵，冰川纵横；世界屋脊
地理,中国的地形,"_________________高原：________,是中国第二大高原。________高原：_________________。",内蒙古；地表坦荡，起伏和缓；黄土；沟壑纵横，黄土广布
地理,中国的地形,"_______高原：________,地下多________,多_________地貌(________)。",云贵；地形崎岖；溶洞暗河；喀斯特地貌(石灰岩地
地理,中国的地形,4.四大盆地：________盆地一中国最大的盆地，其中的________是中国最大的沙漠，________资源丰富。,塔里木；塔克拉玛干沙漠；石油和天然气
地理,中国的地形,__________盆地—中国第二大盆地，西北部有来自__________的水汽，降水略多。,准噶尔；大西洋
地理,中国的地形,"________盆地——中国最湿润的盆地，被称为“红色(紫色)盆地”,其西部的________平原有“________”的美称。",四川；成都；天府之国
地理,中国的地形,5.三大平原：________平原一中国最大的平原，________广布。华北平原—也叫_________地势低平，一望无际。,东北；黑土；黄淮海平原，地势低平
地理,中国的地形,中国________平原—地势低平，河湖密布，有“鱼米之乡”的美称。,长江中下游平；
地理,中国的地形,"6.中国地形的特点是地形________,________面积广大。",复杂多样，山区
地理,中国的地形,"7.中国地势的特点是_______,呈_______状分布。",西高东低；阶梯
地理,中国的地形,8.中国地势第一、二级阶梯的分界山脉是________山脉—阿尔金山脉—祁连山脉—________山脉。,昆仑；横断
地理,中国的地形,9.中国地势第二、三级阶梯的分界山脉是________；________山脉；________；雪峰山。,大兴安岭；太行；巫山
地理,中国的地形,10.中国地势影响：对气候：有利于海洋湿润气流深入内地，形成________。对河流：使许多大河滚滚东流，沟通了东西交通，加强了沿海与内地的联系；阶梯交界处的河流水流湍急，________资源丰富。,降水；水能
地理,中国的气候,1.中国________季南北气温差异大，越往北气温越________，这是由于________因素和________季风的影响。,冬；低；纬度；冬
地理,中国的气候,2.中国________季南北气温差异不大，全国________________,夏；普遍高温
地理,中国的气候,3.习惯上将中国划分为________带、中温带、暖温带、________带和热带五个温度带，还有一个地高天寒、面积广大的________。,寒温；亚热；高原气候区
地理,中国的气候,4.________中国降水________分配不均，________差异大，年降水量自________向________递减。,空间；地区；东南沿海地区；西北内陆地区
地理,中国的气候,5.中国降水________分配不均匀，大部分地区的降水集中在________季。,时间(季节)；夏
地理,中国的气候,6.中国季风区与非季风区的分界线是________一阴山山脉—贺兰山一________山脉一冈底斯山脉以东一线(“大阴贺巴冈”)。,大兴安岭；巴颜喀拉
地理,中国的气候,7.________的影响是导致中国降水时空分布不均的主要原因，且它的进退影响到中国大陆东部雨带的推移。夏季风强，则“____涝________旱”;夏季风弱，则“_____涝_____旱”。________方降水多，________方降水少,夏季风；北；南；北涝南旱；南涝北旱
地理,中国的气候,8.中国季风气候显著的原因：中国位于世界最大的________大陆的东部，面临世界最大的________洋，海陆热力性质差异大。,亚欧；太平
地理,中国的气候,"9.中国气候的________性特征显著,气温的年变化和日变化较大，与世界同纬度的其他地区相比，________季气温明显偏低，________季气温明显偏高。",大陆；冬；夏
地理,中国的气候,10.________是冬半年影响中国的主要气象灾害，它会造成急剧降温、霜冻、大风、雨雪等天气状况。________常发生在夏初的江淮流域。________主要发生在夏秋季节的中国东南沿海地区。,寒潮；梅雨；台风
地理,中国的气候,11.________是对中国农业生产影响最大、最常见且分布范围最广的一种自然灾害。,干旱
地理,中国的河流,1.中国的太平洋水系包括________、________、黑龙江、珠江等河流，印度洋水系主要包括江，北冰洋水系主要包括________河。,黄河；长江；额尔齐斯
地理,中国的河流,2.________河是中国最长的内流河。,塔里木
地理,中国的河流,"3.中国的外流河多分布在________,河流的主要水源来自________带来的降水。",东部季风区；夏季风
地理,中国的河流,4.中国的内流河多分布在________地区，河流的主要水源来自________。,西北内陆；高山冰雪融水
地理,中国的河流,"5.秦岭一淮河线以北的河流，一般来说，流量较________,汛期较________,含沙量较(东北地区除外)________,________结冰期。",小；短；大，有
地理,中国的河流,"6.秦岭-淮河线以南的河流，一般来说，流量较________,汛期较________,含沙量________结冰期。",大；长；小，无
地理,中国的河流,7.中国最大的咸水湖是________湖，最大的淡水湖是________湖。,青海；鄱阳
地理,中国的河流,8.长江发源于________山脉，注入________海，是中国________、________、________、________的河流。,唐古拉；东；长度最长、水量最大、流域面积最广、水能最丰富
地理,中国的河流,9.长江上、中、下游的分界点是湖北________和江西________。,宜昌；湖口
地理,中国的河流,11.长江水能资源丰富，有“________”之称；长江是中国东西向交通的大动脉，享有“.________”的盛誉。,水能宝库；黄金水道
地理,中国的河流,12.黄河发源于________山脉，注入________海，是中国________、________量最大的河流。,巴颜喀拉；渤；长度第二；含沙
地理,中国的河流,13.黄河上、中、下游的分界点是内蒙古________和河南________。,河口；桃花峪
地理,中国的河流,15.黄河水土流失最严重的河段在________游。黄河形成“地上河”的河段在________游。,中；下
地理,中国的河流,"16.黄河的凌汛发生的原因是：河流会________;河水由较________流向较________,黄河发生凌汛的河段是________游和________游。",结冰；低纬度；高纬度；上；下
地理,中国的河流,17.综合治理黄河，要在上、中游大力开展________工作，在下游修堤筑坝，加固黄河大堤。,水土保持(植树造林)
地理,自然资源概况,1.自然资源可以分为________资源和________资源两大类。,可再生；不可再生
地理,自然资源概况,自然资源主要有这6类：________资源、________资源、________资源、________资源、________资源、________资源。,气候资源、水资源、土地资源、生物资源、矿产资源、海洋资源
地理,自然资源概况,自然资源中属于不可再生的资源的是________,矿产资源
地理,自然资源概况,2.能源矿产包括________、________、________。,石油、天然气、煤炭
地理,自然资源概况,3.中国西北内陆区光热丰富，但_________不足。,降水
地理,自然资源概况,4.中国青藏高原区光照充足，但_________不足。,热量
地理,自然资源概况,5.新能源是指在新技术的基础上开发利用的能源，具有对环境低污染的特点，比如________、________、________、________。,太阳能、风能、地热能、水能
地理,自然资源概况,1.海洋资源包括________资源(主要)________等矿产资源、从海水中提取的________和化学元素。,渔业；石油和天然气；盐
地理,自然资源概况,2.中国四大渔场从北往南是：黄渤海渔场、舟山渔场、南海沿岸渔场、北部湾渔场。其中最大的渔场是________渔场，位于________附近。,舟山；长江入海口
地理,自然资源概况,3.中国四大盐场从北往南是：长芦盐场、淮北盐场、布袋盐场、莺歌海盐场。最大的盐场是________盐场。,长芦
地理,自然资源概况,4.发展盐场的有利条件：①地形上有漫长________②气候上北方雨季短，________③位于背风坡，________。,宽广平坦的海滩；春季气温回升快，蒸发旺盛；降水少
地理,自然资源概况,5.海洋资源开发利用可能出现的问题：近海渔业资源________(措施：春夏季鱼类繁殖期时________)、海洋________(台风)、海洋________加剧(比如：________)。,衰竭；休渔；灾害频繁；污染；赤潮
地理,自然资源概况,6.对海洋环境危害最大的是________。,石油污染
地理,土地资源,1.________中国土地资源的基本国情是“________多________少”。,人；地
地理,土地资源,2.土地资源类型齐全，________地占比大，________地、________地占比相对偏小，难以利用的土地比重较大。,草；耕；林
地理,土地资源,3.中国的耕地主要分布在________的________、盆地以及低缓丘陵地区(南方以________为主，北方以________为主)。,东部季风区；平原；水田；旱地
地理,土地资源,4.中国有________三大林区，东北、西南为天然林，东南(丘陵)为人工次生林。,东北、西南、南方
地理,土地资源,5.草地主要分布在北部、西部________地区。,内陆的干旱和半干旱
地理,土地资源,6.中国东部________区，雨热同期，土壤肥沃。,季风
地理,土地资源,7.中国的土地国策：十分珍惜、合理利用土地和切实保护________地。,耕
地理,土地资源,8.中国的人均耕地少，可开垦的后备土地资源不多，因此要保护________耕地，提高耕地的生产力水平。,现有
地理,土地资源,9.对待林地，我们需要采取营林、造林、护林、________的措施。,采育结合
地理,土地资源,"10.对待草地和牧区，我们需要________,避免出现________导致草场退化，土地________。","确定合理的载畜量；过度放牧,；荒漠化"
地理,水资源,"1.中国的水资源主要是指________,主要存在于_________中。",淡水；河流和湖泊
地理,水资源,2.中国水资源的空间分布特点：________多________少，南多北少。,东；西
地理,水资源,3.中国水资源的时间分配特点：________多________少，年际变化_______。,夏秋；春冬；大
地理,水资源,4.解决水资源空间分布不均的主要措施是_______。,跨流域调水
地理,水资源,5.解决水资源时间分配不均的主要措施是________。,兴建水库
地理,水资源,6.________工程是中国最大规模的跨流域水资源综合开发利用工程，把________流域富余的水调人缺水的________、________地区。,南水北调；长江；华北；西北
地理,水资源,中国南水北调工程①西线：长江________调水→西北地区(特点：________),上游；水质最好
地理,水资源,中国南水北调工程②中线：汉江的________→华北地区(特点：水可以________),丹江口水库；基本自流
地理,水资源,中国南水北调工程③东线：长江________扬州→华北地区(特点：利用________运水，水质________),下游；京杭大运河；差
地理,水资源,7.水利枢纽都具备的功能有________、________、________、________、________等。,防洪(主要)、灌溉、发电、航运、水产养殖、旅游
地理,水资源,8.中国河流的径流量排名：________第一、________第二、_________第三、________第四。,长江；珠江；黑龙江；黄河
地理,农业,1.农业是支持和发展国民经济中的________产业。,基础
地理,农业,2.农业的四种生产部门(类型):________(小农业)、________。(口诀：“农林牧渔”),种植业；林业、畜牧业、渔业
地理,农业,3.在农业生产中要根据当地的自然地理和社会经济条件，_________地发展农业。,因地制宜
地理,农业,4.新型农业有：城郊农业、________(减少使用化肥和农药)________、创汇农业。,绿色农业；观光农业
地理,农业,5.杂交水稻之父是________。,袁隆平
地理,农业,6.中国的粮食作物，北方以________为主，南方以________为主。,小麦；水稻
地理,农业,"7.中国的纤维作物主要是________,主要分布在新疆(________)、黄河中下游地区、________中下游地区。",棉花；长绒棉；长江
地理,农业,"8.中国的油料作物，________在中国的种植面积最广，北方以________为主(集中在________、河南),南方以________为主(________域是中国的最大油菜产区)。",油菜；花生；山东；长江流
地理,农业,9.中国的糖料作物，北方以________为主，南方以________为主(华南地区、________产量最大)。,甜菜；甘蔗；广西壮族自治区
地理,农业,10.中国的热带作物，主要分布在________岛、________半岛、________岛南部、云南省________。,海南；雷州；台湾；南部
地理,农业,11.中国的饮料作物主要是分布在________陵的________。,东南丘；茶叶
地理,农业,12.中国的商品粮基地，主要有太湖平原、________平原(江西)、__________平原(湖南)江汉平原、江淮地区、________平原(四川)、松嫩平原、三江平原、珠江三角洲等。,鄱阳湖；洞庭湖；成都
地理,农业,13.畜牧业分为________畜牧业和________畜牧业。,牧区；农耕区
地理,农业,14.中国的四大牧区：________(_三河牛、_______)、________(________)、.________(_________)、________(________)。,内蒙古（三河牛、三河马）；新疆（细毛羊）；西藏(牦牛)；青海(牦牛)
地理,工业,1.工业是国民经济中的________产业。,主导
地理,工业,2.工业分为________和________。,轻工业；重工业
地理,工业,3.轻工业以生产________资料为主，包括食品工业、纺织工业(________最重要)。,生活；棉纺织
地理,工业,4.重工业以生产生产资料为主，包括________、________、__________、化学工业。,钢铁工业；机械工业；能源工业
地理,工业,"5.中国的第一大能源是________,________省的产量最大。",煤炭；山西
地理,工业,"6.中国第二大能源是________,黑龙江的________是目前中国最大的该能源工业基地。",石油；大庆油田
地理,工业,"7.水力(水能)是中国重要的能源，主要集中在河流的________,主要用于________。",上游；发电
地理,工业,8.中国是世界上钢铁产量最多的国家，多用________炼钢，________主要从巴西、澳大利亚进口。,煤炭；铁矿石
地理,工业,9.________工业基地是中国著名的________基地。,辽中南；重工业
地理,工业,10.________工业基地是中国北方最大的________工业基地。,京津唐；综合性
地理,工业,11._________工业基地是中国最大的________工业基地。,沪宁杭；综合性
地理,工业,12._________工业基地是以________为主的综合性工业基地。,珠江三角洲；轻工业
地理,工业,15.环渤海高新技术产业密集区，以________科技园区为中心。,北京中关村
地理,工业,16.沿长江高新技术产业密集区，以________为中心。,上海高新区
地理,工业,17.东南沿海高新技产业密集区，以________区为中心。,深圳高新
地理,工业,18.列举生活中的高新技术产品：_________等。,手机、电脑、机器人
地理,交通运输业,"1.交通运输业是指利用_________,促使________实现_________的生产部门。",各种运输工具；客、货；空间位移
地理,交通运输业,2.”要想富，先修路”说明交通运输业具有________的特征。,先行发展
地理,交通运输业,入3.中国已形成以________为中心的全国铁路网。,北京
地理,交通运输业,4.中国南北向铁路干线主要有________(________)、_________(________(________)。,京哈线；从北京到哈尔滨；京沪线；北京到上海)、京九线；北京到香港九龙
地理,交通运输业,5.中国东西向铁路干线主要有_________线(________)、_________线(___________________________)、________(____________)。,京包—包兰线(北京到包头到甘肃兰州)；陇海—兰新线(上海到甘肃兰州到新疆乌鲁木齐)；沪昆线(上海到昆明)
地理,,6.中国综合性交通运输枢纽主要有：_______、_______、上海、_______、_______、_______。,北京、郑州、上海、武汉、广州、株洲
地理,交通运输业,7.京广线与陇海线交会于________。京沪线与陇海线交会于________。陇海线、兰新线、包兰线交会于________。京广线与沪昆线交会于________。,郑州；徐州；兰州；株洲
地理,交通运输业,8.________、________的物品，且数量不大，需要最快的速度送达的货物选择_______运输。,贵重；急需；航空
地理,交通运输业,9.能满足“门对门”的要求短途运输，选择________运输。,公路
地理,交通运输业,10.大宗笨重货物，远距离运输，低成本，选择________运输或__________运输，但速度慢。,铁路；水运
地理,交通运输业,"11.管道运输主要用来运输_________,具有运量大、连续性强的优点。",石油和天然气
地理,四大地理区域的划分,1.中国四大地理区域分别是：_________地区、_________地区、_________地区、_________地区。,南方;北方;青藏;西北
地理,四大地理区域的划分,"2.南方地区的自然环境特点是________,北方地区的自然环境特点是________,青藏地区的自然环境特点是________,西北地区地区的自然环境特点是________。",湿热；冷湿；高寒；干旱
地理,四大地理区域的划分,3.中国四大地理区域的分界线：秦岭-淮河线、________毫米年等降水量线(大兴安岭-长城)________高原边缘线。,400；青藏
地理,四大地理区域的划分,4.说出秦岭淮河的10条地理意义。,"①南方和北方的分界线
②水田和旱地的分界线
③湿润地区与半湿润地区的分界线
④亚热带和暖温带的分界线
⑤800mm年等降水量线(南方降水多，北方降水少)
⑥1月0℃等温线(南方气温高，北方气温低)
⑦亚热带季风、温带季风气候分界线
⑧亚热带常绿阔叶林、温带落叶阔叶林分界线
⑨长江流域、黄河流域的分界线
⑩河流有无结冰期：南方不结冰，北方结冰"
地理,四大地理区域的划分,5.四大地理区域的划分:①北方和南方地区以秦岭-淮河线为界，主导因素是________(气温和降水),气候因素
地理,四大地理区域的划分,②北方和西北地区以400毫米等降水量线为界，主导因素是_________,降水(或夏季风);
地理,四大地理区域的划分,③青藏地区和其他地区以第一、二阶梯分界线为界，主导因素是_________,地形地势(或海拔)
地理,四大地理区域的划分,"6.北方地区与西北地区的分界线大致还属于3种地理事物的分界线
①夏季风：季风区与________区
②降水：________mm年等降水量线
③畜牧业：________畜牧业与________畜牧业
④河流：内流河一外流河
⑤干湿地区：半干旱一半湿润地区",非季风；400；农耕区；牧区
地理,北方地区,1.北方地区包括的主要地形区：________。地形以________为主，跨越第________、________级阶梯。,东北平原、华北平原、黄土高原；高原、平原；二三
地理,北方地区,"2.华北地区的主要粮食作物是________,作物熟制是_",冬小麦；一年两熟或两年三熟
地理,北方地区,"3.东北地区的主要粮食作物是________,作物熟制是_",春小麦；一年一熟
地理,北方地区,4.北方地区以________水果为主，主要有________、________、________.,温带；苹果；枣；梨
地理,北方地区,5.东北地区的________特别肥沃。,黑土
地理,北方地区,6.中国的天然林区有：________、________、________。,大兴安岭、小兴安岭、长白山
地理,北方地区,"7.北方的能源矿产丰富，中国最大的油田：________,位于________",大庆油田；黑龙江省
地理,北方地区,8.中国出产煤炭最多的是________。,山西省
地理,北方地区,9.北方地区粮食作物________、糖料作物________产量丰富。,小麦；甜菜
地理,北方地区,"10、描述一下北方河流的水文特征(量、位、沙、冰、能、汛):东北地区：水量大，水位变化大，________,有结冰期和凌汛，",含沙量低；有春汛和夏汛
地理,北方地区,"描述一下北方河流的水文特征(量、位、沙、冰、能、汛):华北地区：水量大，水位变化大，________,有结冰期和凌汛，________11.北方地区的气候属于________,气候特征是",含沙量高；有夏汛
地理,北方地区,"11.北方地区的气候属于________,气候特征是夏季高温多雨，冬季寒冷干燥",温带季风气候
地理,南方地区,"1.南方地区地跨________级阶梯地形区包括：________,________,________,________。",二、三；长江中下游平原；东南丘陵；四川盆地；云贵高原。
地理,南方地区,"2.南方地区的粮食作物是________,作物熟制是一年________。",水稻；两熟到三熟
地理,南方地区,3.南方地区以________、________水果为主，主要有________、________、________、________等,亚热带；热带；柑橘、香蕉、菠萝、荔枝、椰子
地理,南方地区,4.南方平原地区河湖众多，水网纵横，有“________”之称，长江中下游平原有________之称，成都平原有“________”之称。,水乡；鱼米之乡；天府之国
地理,南方地区,5.描述一下南方河流的水文特征。,河流径流量大、水位高、含沙量低、无结冰期、水能丰富、汛期在夏季。
地理,南方地区,6.南方地区饮料作物________、糖料作物________、水果________产量丰富。,茶叶；甘蔗；柑橘
